strain,id,race,flavors,effects,0
Jackalope,1093,sativa,"['Earthy', 'Citrus', 'Flowery']","{'positive': ['Relaxed', 'Happy', 'Sleepy', 'Aroused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Fatigue', 'Headaches']}","Harlequin is a 75/25 sativa-dominant strain renowned for its reliable expression of CBD. A descendant of Colombian Gold, a Nepali indica, and Thai and Swiss landrace strains, you can depend on Harlequin to provide clear-headed, alert sativa effects. Unlike most high-CBD strains, Harlequin almost always develops a CBD:THC ratio of 5:2, making this strain one of the most effective out there for treatment of pain and anxiety, as CBD can counteract THC’s paranoia while amplifying its painkilling properties. Flavors can range from earthy musk to sweet mango, but without a doubt, what draws crowds to Harlequin is its ability to relax without sedation and to relieve without intoxication."
Jacked-Up,1094,hybrid,"['Berry', 'Citrus', 'Lemon']","{'positive': ['Hungry', 'Creative', 'Energetic', 'Focused', 'Aroused'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']}","Harley Storm by Cannavative is a complex union of CBD-rich parent strains. By crossing Harle-Tsu and Thunderstruck, this aptly named strain takes on mild cerebral effects while remaining primarily medicinal. Harley Storm offers consumers an uplifting headiness with alert stimulation while reducing inflammation and pain. Consume this strain’s massive 22:1 CBD/THC ratio on its own or as a supplementary addition to other strains."
Jacky White,1095,sativa,"['Flowery', 'Grapefruit', 'Citrus']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Nausea', 'Fatigue']}","Harley Twin is a CBD-rich, sativa-dominant strain that inherits genetics from Harle-Tsu and Harlequin. This wellness oriented combination has an alert buzz that is maintained by its balanced THC/CBD ratio, encompassing the mind in soft haze while gently stimulating the body. These effects coupled with the natural anti-inflammatory qualities inherent to Harley Twin can help turn down the dial on minor physical pain, stress, and nausea. Anticipate a grassy aroma with a hint of cherry sweetness after combustion/vaporization."
Jah Kush,1096,hybrid,"['Citrus', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']}","Harmonia is an indica strain bred by combining a Pure Kush and LA Confidential cross with a Sweet Tooth and Juicy Fruit hybrid. This strain’s CBD content tends to be slightly higher than its THC profile, making this indica a great choice for those sensitive to psychoactive effects or patients treating pain, inflammation, or anxiety. With an aroma of sweet lemon and berries, Harmonia delivers functional, clear-headed effects that allow you to stay active and productive throughout the day. Don’t confuse Harmonia with its sister strain Pokie, who inherits a high-THC and low-CBD chemical profile despite being bred from the same parent genetics."
Jahwaiian,1097,sativa,"['Sweet', 'Tropical', 'Earthy']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Aroused'], 'negative': [], 'medical': ['Pain']}","Harmony is a hybrid that synchronizes the very best of its three parent strains, Santa Marta Colombian Gold, Lemon OG Kush, and Lemon Thai. These tall plants produce flowery, lemon-smelling buds distinctly kush-like in structure. Its effects are invigorating and uplifting, but higher doses might push you into a more spacey experience. Indoor growers wait 8 to 9 weeks for Harmony to flower while outdoor cultivators prepare for harvest in the month of October."
Jamaican,1098,sativa,"['Earthy', 'Tropical', 'Skunk']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Talkative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Fatigue', 'Headaches']}","Harry Potter is an otherworldly hybrid strain that crosses Blissful Wizard with Fire Alien Kush. Bred by Sasquatch Gardens in California, Harry Potter casts a pacifying spell over the body, easing aches and pains while hushing anxiety. "
Jamaican Dream,1099,sativa,"['Woody', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Uplifted'], 'negative': ['Dry Mouth', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Muscle Spasms']}","One of Sensi Seeds's classics, Hash Plant stays compact during her extra-short flowering time. Her tight, resin-drenched flower clusters develop a brittle surface when dried and give off a deep, rich Afghani aroma that’s undercut with a hint of hashish. When consumed, her dominant flavor is the spicy-sharp bite of smouldering resin glands. The instant vaporization of those layers of sparkling trichomes accelerates Hash Plant’s rapid, blissful and breathtakingly powerful body-stone. This 90% indica is the product of careful genetic selection, a process that involved matching the mysterious Hash Plant original from the U.S. with Northern Lights."
Jamaican Lion,1100,sativa,"['Earthy', 'Nutty', 'Lime']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Inflammation', 'Muscle Spasms']}","In the old days of clandestine growing, people found many strains to be unsuitable for stealthy indoor grows. Sativa strains were too large and took too long, while many indica strains smelled too strongly to go unnoticed. Enter the Pacific Northwest Hash Plant, a compact, quick-flowering, low-odor plant that still delivers large yields and tons of resin. Archive Seed Bank crossed this plant with their favorite male, the Face Off OG backcross, to create Hashbar OG, a 70% indica-dominant hybrid that generates THC levels between 20% and 24%. While the smell of this strain is light, it still delivers a nice OG flavor when smoked.   "
Jamaican Pearl,1101,sativa,"['Earthy', 'Pungent', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Eye Pressure']}","Voted Strain of the Year by High Times in 2006, Hashberry has a classic indica flavor with hashish undertones. Its thick stems are necessary to support the heavy buds, providing a classic aroma and flavor of mint or pepper. The effects begin swiftly and slowly plateau to the ""mellow"" phase. Toward the end, a body sensation begins but leaves the consumer still social and active."
Jamba Juice,1102,hybrid,"['Earthy', 'Berry', 'Pine']","{'positive': ['Happy', 'Energetic', 'Talkative', 'Tingly', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Muscle Spasms']}","The uplifting high of the Hashplant Haze is enjoyable throughout the day due to it's being a sativa dominant strain. The taste is that of fruity, hashy, haziness that comes from DNA Genetics by crossing California Hash Plant and Cannalope Haze.  "
Jane Doe,1103,hybrid,"['Apricot', 'Berry', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Giggly'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']}","Hawaiian is a mostly sativa hybrid that will give you a happy, vacation feeling. Creative but not so focused, this bud is great for a relaxing day. These light green buds have a sweet smell and taste that is not super potent but will bring to mind fresh tropical fruit."
Jasmine,1104,hybrid,"['Sweet', 'Lavender', 'Rose']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']}","Hawaiian Cookies is a sativa-dominant hybrid cross between Hawaiian Snow and Girl Scout Cookies that first entered the scene in 2014. From its Hawaiian Snow parent, Hawaiian Cookies inherits a tropical citrus aroma in a flavorful introduction to its potent euphoric effects. Happy, uplifting effects are following by a slight jolt of cerebral energy that lifts depression and stress while dulling pain, appetite loss, and insomnia. Its rounded bud structure and dark coloration further testify to this strain’s elite parent genetics."
Jawa Pie,1105,indica,"['Lemon', 'Minty', 'Lime']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Cramps', 'Lack of Appetite']}","Hawaiian Delight has a strong and musky aroma, hashy finish with a pleasant after taste."
Jazz,1106,hybrid,"['Citrus', 'Pepper', 'Sweet']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Hawaiian Diesel is the tropical mix of an Aloha State native strain with Sour Diesel. A true sativa, this strain will have energetic effects that are good for socializing. Hawaiian Diesel plants flower between 8 and 10 weeks and grow best indoors. Flowers will have a fresh citrus and pine aroma and a sweet tropical fruit flavor."
Jean Guy,1107,hybrid,"['Citrus', 'Pine', 'Lemon']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Talkative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Inflammation']}","Hawaiian Dream is an uplifting sativa strain that crosses Blue Dream with a Hawaiian variety. Though some renditions of this strain have a THC-dominant chemical profile, Hawaiian Dream is best known for its high CBD content which is often twice as abundant as its THC. Patients look to this high-CBD sativa to remedy pain, inflammation, and anxiety without physical heaviness or a foggy head."
Jedi Kush,1108,indica,"['Earthy', 'Pungent', 'Pine']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']}","“Fire” is a slang term for really good cannabis and in the case of this Hawaiian strain, it really is true. Rumored to originally hail from Maui, this strain will put you in an island mood with uplifting, happy effects that tend to make patients feel social and talkative. A great strain for relaxing with friends or listening to music, the cerebral effects of Hawaiian Fire are great for daytime use. It is also known to inspire your appetite in a big way, so pass the poi. "
Jelly Roll,1109,indica,"['Pungent', 'Sweet']","{'positive': ['Relaxed', 'Happy', 'Tingly'], 'negative': ['Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Stress', 'Nausea', 'Eye Pressure']}","Hawaiian Haze is a mostly sativa strain that produces some high-quality sativa effects. A mix of Hawaiian and Haze genetics, these light, airy buds will have your head in the clouds. Many users also report that it makes them sociable and talkative, so it may be a good daytime medication. Hawaiian Haze’s floral smell and taste of tropical fruit might just have you daydreaming about an island vacation. These plants grow tall and flower slowly, taking between 12 and 14 weeks, so they are probably better suited for a grower with some experience and patience."
Jenni,1110,sativa,"['Sweet', 'Berry', 'Tree Fruit']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Energetic'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']}","What do you get when you cross two of the most potent equatorial sativa strains and plant them in the volcanic soil of paradise? You get Hawaiian Mayan Gold by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. This cross of Kona Gold and Colombian Mojito landraces produces massive sativa spears that reach for the sky. Growers take note, this strain can be difficult to tame without the proper vertical real estate. Hawaiian Mayan Gold’s stimulating energy, long-lasting effects, and tropical terpene profile make it an instant classic right out of the jar.     "
Jenny Kush,1111,hybrid,"['Citrus', 'Sweet', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Headaches', 'Muscle Spasms']}","Originating in Hawaii, Hawaiian Punch delivers a ""punch"" not unlike the most righteous wave in Hawaii. This strain is extremely potent, yet delivers an aloha feeling to your mind and body, much like an ocean breeze. Hawaiian Punch is one that will gradually sneak up on you, especially the first time. "
Jesse's Girl,1112,indica,"['Berry', 'Coffee', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative'], 'negative': ['Dry Eyes'], 'medical': ['Stress', 'Fatigue', 'Eye Pressure', 'Inflammation']}","Hawaiian Purple Kush is an 80/20 indica-dominant strain that brings together the taste of the tropics and the potency of the Kush. Patients swear by this Hawaiian and Purple Kush cross for treatment of pain, insomnia, and muscle relaxation."
Jesus,1113,hybrid,"['Citrus', 'Earthy', 'Lavender']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']}","Hawaiian Sativa is a pure sativa strain that heads straight to the head with little to no body effects for some consumers. The head effects might be a little intense for new consumers or those looking for more calming effects. Hawaiian Sativa has also earned the nickname “banana pot,” not because of its tropical heritage, but because it grows long, curved flowers that resemble the fruit. These “banana buds” actually smell and taste more like citrus, but their added length provides plenty of room for sticky resin, making this a potent strain with high THC levels. Since its effects are so active, this strain is popular for daytime consumption and has shown effectiveness as a treatment for glaucoma patients. As a true sativa, Hawaiian Sativa plants grow tall and take a full 12 weeks to flower, but the rewards are plentiful for the patient grower."
Jesus OG,1114,sativa,"['Earthy', 'Lemon', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Hawaiian Skunk is an outdoor plant that offers high THC content (evidenced by dense crystals) with few growing difficulties. A cross between Hawaiian Indica and Skunk #1, this light green, poppy bud suggests the uplifting, sativa-dominant buzz it induces. The strain is commonly praised for its smell that borders between fruity and musky thanks to its balanced genetics."
Jet Fuel,1115,hybrid,"['Diesel', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']}","A 2003 Cannabis Cup winner, Hawaiian Snow is a trifecta of Haze genetics, combining Neville’s Haze, Pure Haze, and Hawaiian Haze into one superior sativa line. It has all the features one might expect from its genetic lineage: a tall, stretchy structure, slow flowering time (up to 14 weeks), intense spicy-incense aroma with hints of citrus and eucalyptus, and generous amounts of THC, at times over 23%. Where Hawaiian Snow really stands out is in its high, a very stimulating head buzz that is perfect for social interaction and creative endeavors. Hawaiian Snow has been known to leave users with an overwhelming case of the giggles"
Jillybean,1117,hybrid,"['Citrus', 'Sweet', 'Orange']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']}","Hawaiian Sunrise is a mysterious Hawaiian strain acquired by Colorado Seed Inc. while preparing their robust roster for the mainland. This strain is the mother of Hibiscus Sunrise, another potent cut by Colorado Seed Inc. Although this plant has a notoriously light yield, the buds that mature on the stalks of this colorful and aromatic plant are worth the effort."
Jimi Hendrix,1118,hybrid,"['Citrus', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Anxious'], 'medical': ['Depression', 'Stress', 'Cramps', 'Lack of Appetite', 'Nausea']}",
Jock Horror,1119,sativa,"['Berry', 'Earthy', 'Sweet']","{'positive': ['Hungry', 'Euphoric', 'Happy', 'Energetic', 'Aroused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']}","Hawai’i ‘78 is a Hawaiian landrace sativa, also known as the ""Sweet Lady of Waiāhole."" This strain originated on the island of O’ahu, near where the film Jurassic Park was shot. According to sources, Hawai’i ‘78 even became a favorite with the production crew while on site. This strain represents old school Hawaiian genetics and stimulates while imbuing the consumer with a content, mellow haze."
Johnny’s Tonic,1120,sativa,"['Flowery', 'Skunk', 'Pungent']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Tingly'], 'negative': ['Dry Eyes'], 'medical': ['Pain', 'Cramps', 'Nausea', 'Fatigue', 'Inflammation']}","The illustrious Haze sativa first took root in Santa Cruz, California during the 1960s where long growing seasons accommodated her lengthy flowering cycle. Since then, Haze has become the proud parent of countless hybrids around the globe, passing on its genetics from Colombia, Mexico, Thailand, and South India. Although Haze cultivators must wait patiently for Haze flowers to reach full maturation, few strains can match the high-energy, creative buzz provided by this sativa staple. Haze's aroma is typically characterized by a spicy scent accented by hints of citrus and earthy sweetness. "
Jolly Rancher,1121,hybrid,"['Sweet', 'Pungent', 'Flowery']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Giggly'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Headaches']}","A cross between Super Silver Haze and DJ Short’s famous Blueberry, Haze Berry is an 80% sativa hybrid that has become quite popular for its combination of sweet berry, indica-like flavors and sativa highs. As you might expect from a plant with two extremely potent parents, Haze Berry routinely tests at well over 20% THC, and some cultivars have a significant amount of CBD as well. In addition, it provides higher than average yields and a relatively short flowering time of 9-10 weeks, making this a very attractive strain for sativa enthusiasts. Haze Berry gives the consumer a euphoric, creativity-inducing high that gradually gives way to a profound sensation of relaxation and well-being."
Josh D OG,1122,indica,"['Berry', 'Blueberry', 'Blue Cheese']","{'positive': ['Aroused'], 'negative': ['Paranoid', 'Anxious'], 'medical': ['Depression', 'Cramps', 'Fatigue']}","Bred by Soma Seeds, Haze Heaven is a 60/40 indica-dominant hybrid whose classic genetics derive from Northern Lights #5, Haze, Afghani, and Hawaiian. Its heritage equips this strain with diverse qualities that appease the connoisseur as well as the commercial grower; large buds packed with resin show off Haze Heaven's indica dominance, but the buzzing energy expected from Haze hybrids is still present alongside mellow, relaxing effects. Hints of musk and spice can be detected on the inhale, balancing flavors from both indica and sativa sides of the family. This variety still takes about 10 to 11 weeks to finish flowering, but growers with enough skill to successfully cultivate Haze Heaven are typically rewarded with generous yields."
Jr,1123,indica,"['Earthy', 'Pungent', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Bred by Flying Dutchmen, Haze Mist is a sativa strain that was parented by a South Indian Skunk hybrid and a Haze male. Haze Mist balances sweet, sour and spicy flavors while its effects lean entirely to the cerebral side of the spectrum with very little full-body sensations. Like a true sativa, Haze Mist stretches tall and requires patience during her 13 to 14 week flowering cycle. "
Juicy Fruit,1124,hybrid,"['Sweet', 'Tropical', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}","You could call Haze Wreck the “perfect storm” of sativas, as it unites the lineages of two legendary strains, Haze and Trainwreck. Both of these strains descend from indigenous landrace sativas, whose ancient genetics are like diamonds to growers. As the legacy of these native strains, Haze Wreck has a strong tropical and fruity smell with notes of sweet, earthy pine. Its buds have a typical sativa appearance, with narrow pointed buds wrapped in vibrant orange hairs. The cerebral effects arrive quickly, facilitating creativity and relaxation. Stress relief and depression are no match for Haze Wreck’s euphoric qualities, and patients requiring a high THC content for their symptoms may find their relief in this powerful sativa. Haze Wreck also goes by the names Trainwreck Haze and Hazy Train."
Juicy Jack,1125,hybrid,"['Sweet', 'Earthy', 'Citrus']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth', 'Paranoid'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}","Head Cheese combines the legendary strains 707 Headband and UK Cheese into a pungent and potent sativa-dominant hybrid. With a THC content pushing 25%, Head Cheese offers astonishing relief to symptoms like pain, migraines, inflammation, spasms, sleeplessness, and appetite loss. Bulky yellow-green buds carry the sharp cheese aroma and savory taste of its UK Cheese parent strain. Its effects are both relaxing and euphoric, a sensation that blissfully radiates throughout the mind and body."
Juliet,1126,hybrid,"['Spicy/Herbal', 'Pine', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']}",Head Trip is an indica-dominant cross of Chocolate Trip (Katsu cut) and Snow Lotus bred by Bodhi Seeds. It produces relaxing body effects and a somewhat psychedelic cerebral experience that reveals where Head Trip gets its name. The aroma is an earthy mix of chocolate and coffee that offer flavorful relief from anxiety and depression.
Julius Caesar,1127,hybrid,"['Sweet', 'Flowery', 'Tropical']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']}","Meet Headband, the love-child of cannabis’ power couple, OG Kush and Sour Diesel. The smooth, creamy smoke is accented by flavors of lemons and diesel while the long-lasting effects are great for pain relief, helping you to relax, and to combat elevated stress levels. Many report that the effects create a slight pressure around the crown of their head and feels as though they are wearing a headband. The effects have been known to come on slow, so pace yourself with this potent hybrid. "
Jungle Juice,1128,hybrid,"['Flowery', 'Citrus', 'Woody']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Energetic', 'Sleepy'], 'negative': [], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']}","Headbanger, a winner of the 2013 Amsterdam Cannabis Cup, is a sativa dominant hybrid cross between Sour Diesel and Biker Kush. This strain inherits a dense, conic bud structure from its Kush forefathers, as well as the sour aroma and head-focused effects of its Sour Diesel mother plant. Bred by Karma Genetics, Headbanger’s 10 to 12 week flowering period requires patience but promises high yields. Its uplifting and euphoric qualities make Headbanger a potent medicine for mood disorders, particularly depression."
Jupiter OG,1129,indica,"['Pungent', 'Sweet', 'Flowery']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Lack of Appetite', 'Nausea', 'Headache', 'Headaches']}","Heaven Scent is a hybrid cannabis strain bred by MTG Seeds that crosses genetics from God’s Gift and Green Crack. The polar opposite effects of its indica and sativa parents meet halfway, delivering you to a balanced state of blissful, relaxed happiness. Its buds express themselves in hues that range from deep blue to dark purple."
K-Train,1130,indica,"['Earthy', 'Citrus', 'Tree Fruit']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Cramps', 'Headache']}","Heavy Duty Fruity seems to have everything going for it: high yields, yummy flavor, and potency. T. H. Seeds bred this West Coast native from local (and locally named) favorites Killing Garberville, Seattle Big Bud, and Mendocino Hash Plant to create a multi-skilled strain. Growers should be aware that plants do not always have classic seven-point leaves, but her unique beauty does not affect her output. Heavy Duty Fruity also gives off a heavy duty sweet smell, so it may require management for indoor growers. What is not a concern is yield and bud size, both of which are consistently large with this strain, both indoors and out. Plants usually flower between 8 and 9 weeks. Depending on when this plant is harvested, her effects range from psychedelic and spacey to mellow relaxation."
K1,1131,hybrid,"['Ammonia', 'Pepper', 'Pine']","{'positive': ['Happy', 'Energetic', 'Uplifted', 'Focused', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Heisenberg Kush is a cross of SC Blue Dream and Sin City Kush bred by Alphakronik Genes Seeds as part of their Great Minds series of genetics. Named for the renowned German physicist Werner Heisenberg, who is considered the pioneer of quantum mechanics, Heisenberg Kush is a fast-flowering, sativa-dominant blend that produces a spectrum of blue and purple hues. Skunky grape notes mix with earthy undertones of sandalwood and a sweet strawberry finish to create the invigorating flavor palate of Heisenberg Kush. "
K2,1132,hybrid,"['Earthy', 'Citrus', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']}","Hell Raiser OG, bred by Archive Seed Bank, is a 60% indica-dominant cross between Fire OG and Face Off OG. After its 72-day flowering time indoors, Hell Raiser OG produces round, crystal covered buds that show off its OG lineage through a sour lemon and pine aroma. Hell Raiser OG took 1st place in the concentrates category of the 2014 High Times San Francisco Cannabis Cup."
KC 33,1133,hybrid,"['Lemon', 'Citrus', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Focused'], 'negative': [], 'medical': ['Pain', 'Stress', 'Headaches', 'Eye Pressure', 'Inflammation']}","Hell’s Angel OG (also called Biker's Kush or just Hell's OG) is an indica-dominant hybrid that is said to contain OG Kush and Blackberry genetics. The strain’s origins are poorly documented, but popular myth will tell you Hell's Angel OG was bred by the biker ruffians themselves in Southern California. If nothing else, we could assume this strain is named after its fierce psychoactive effects that settle in quickly and heavily. Lifting stress from the mind and pain from the body, Hells Angels OG is a therapeutic strain commonly used to treat inflammation, insomnia, and PTSD. Underneath its dominant earthy flavors hides a subtle citrus, candy-like aroma. This hybrid produces large, heavy buds that flower in 8 to 9 weeks indoors while outdoor plants are ready for harvest during the September-October transition."
KC 36,1134,indica,"['Blueberry', 'Grape', 'Lavender']","{'positive': ['Relaxed', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Fatigue']}","Hellfire OG is a California hybrid strain that crosses Rascal’s OG Kush with SFV OG Kush. Another robust and powerfully euphoric addition to the OG family tree, Hellfire OG is the perfect THC powerhouse for the cannabis veteran or the patient needing potent relief. In a show of its genetic line, Hellfire OG carries that signature OG smell of lemon diesel and earthy spice."
KT Dawg,1135,hybrid,"['Woody', 'Citrus', 'Sweet']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Tingly'], 'negative': ['Dry Mouth'], 'medical': ['Pain', 'Stress', 'Inflammation']}","A cross of Durban Poison and LA Confidential, Hemlock is a hybrid strain that smells of sweet grapefruit with a hint of ammonia. Found mostly in Colorado, Hemlock averages about 21% THC and features a short, stocky, easy-to-grow structure with good yields and high resin production.  This hybrid gives users a relaxed feeling of well-being, and is potentially good for treating migraines, anxiety, and PTSD. "
Kaboom,1136,sativa,"['Pine', 'Earthy', 'Lemon']","{'positive': ['Happy', 'Energetic', 'Talkative', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']}","Hempstar, now known as ""Brainstorm,"" was developed by Dutch Passion Seeds as a tribute to all the hempsters and the international hemp movement. This sativa-dominant strain was originally a three-way cross between Skunk, Oasis, and Haze, but Dutch Passion later brought Northern Lights #5 and Haze together to create the modern Brainstorm strain. It has a mild taste and traditional sativa effects."
Kahuna,1137,indica,"['Orange', 'Pineapple', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Creative', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']}","Hercules! Hercules! These hybrid buds are a blend of Hawaiian Urkle and Gupta Kush crafted by  This all-day strain is ideal for physical activity, including, but not limited to: fighting Cerberus or eating an entire box of cereal.  "
